order_id,order_date,region,channel,category,customer_segment,quantity,unit_price,discount,revenue,cost,profit,returned,delivery_days
ORD-00001,2025-11-24,Centro,Store,Elettronica,Privati,1,386.97,0.1,348.27,227.66,120.61,0,2
ORD-00002,2025-09-16,Sud,Store,Moda,Professionisti,1,68.31,0,68.31,38.92,29.39,1,1
ORD-00003,2025-03-23,Centro,Online,Moda,PMI,1,28.39,0,28.39,15.28,13.11,0,4
ORD-00004,2025-08-24,Nord,Partner,Sport,Studenti,3,127.06,0,381.18,242.25,138.93,0,5
ORD-00005,2025-01-24,Isole,Store,Moda,Professionisti,3,60.57,0.05,172.62,96.26,76.36,0,1
ORD-00006,2025-05-17,Centro,Store,Moda,Studenti,2,49.96,0.05,94.92,51.22,43.7,0,2
ORD-00007,2025-11-24,Centro,Online,Moda,Professionisti,1,129.85,0,129.85,70.27,59.58,1,5
ORD-00008,2025-06-11,Isole,Online,Elettronica,Professionisti,1,126.03,0.15,107.13,74.52,32.61,0,3
ORD-00009,2025-10-27,Nord,Store,Sport,PMI,1,106.43,0,106.43,70.07,36.36,0,2
ORD-00010,2025-11-02,Isole,Online,Elettronica,Studenti,5,437.28,0,2186.4,1543.9,642.5,0,5
ORD-00011,2025-10-02,Nord,Store,Moda,Privati,1,18.36,0.15,15.61,8.97,6.64,0,1
ORD-00012,2025-02-24,Nord,Online,Beauty,Studenti,1,75.29,0.1,67.76,36.39,31.37,0,4
ORD-00013,2025-01-01,Centro,Online,Sport,Privati,5,158.12,0,790.6,469.35,321.25,0,4
ORD-00014,2025-09-06,Nord,Partner,Moda,Privati,2,124.05,0,248.1,131.89,116.21,0,4
ORD-00015,2025-08-05,Sud,Partner,Beauty,Professionisti,2,45.12,0.15,76.7,39.67,37.03,0,4
ORD-00016,2025-04-26,Nord,Online,Elettronica,Studenti,1,316.28,0,316.28,210.72,105.56,0,4
ORD-00017,2025-06-19,Sud,Online,Elettronica,Privati,1,436.82,0.1,393.14,273.99,119.15,0,3
ORD-00018,2025-02-18,Nord,Online,Elettronica,Studenti,2,304.04,0.15,516.87,338.39,178.48,0,4
ORD-00019,2025-06-23,Centro,Online,Moda,Studenti,1,42.41,0.05,40.29,21.38,18.91,0,2
ORD-00020,2025-10-09,Nord,Store,Elettronica,Privati,1,332.52,0,332.52,219.7,112.82,0,2
ORD-00021,2025-04-20,Centro,Partner,Beauty,Privati,1,88.9,0.05,84.45,41.68,42.77,0,4
ORD-00022,2025-12-05,Centro,Online,Moda,PMI,2,92.9,0.15,157.93,84.49,73.44,1,2
ORD-00023,2025-09-02,Centro,Partner,Sport,PMI,1,55.66,0.1,50.09,29.78,20.31,0,2
ORD-00024,2025-10-19,Nord,Store,Casa,Privati,2,93.19,0,186.38,105.57,80.81,0,3
ORD-00025,2025-05-03,Sud,Online,Casa,Privati,4,166.1,0,664.4,389.04,275.36,0,4
ORD-00026,2025-04-20,Nord,Online,Sport,Privati,1,72.02,0.05,68.42,44.9,23.52,0,4
ORD-00027,2025-11-10,Nord,Store,Beauty,Professionisti,2,105.42,0,210.84,113.02,97.82,0,2
ORD-00028,2025-10-11,Centro,Online,Elettronica,Privati,2,367.78,0.1,662.0,456.24,205.76,0,4
ORD-00029,2025-01-27,Centro,Online,Elettronica,Privati,2,291.18,0,582.36,384.52,197.84,0,3
ORD-00030,2025-02-27,Isole,Partner,Elettronica,Studenti,3,271.79,0,815.37,557.71,257.66,1,3
ORD-00031,2025-07-06,Sud,Store,Beauty,PMI,1,32.71,0,32.71,16.29,16.42,0,3
ORD-00032,2025-03-21,Centro,Online,Beauty,Professionisti,1,46.22,0,46.22,24.17,22.05,0,2
